MsgID.LOCAL_POSITION,202.1250000,-0.2922017,0.2605457,-6.1448607
MsgID.LOCAL_VELOCITY,202.1250000,0.0131363,-0.0189878,1.1640812
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924778,6.1440000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0100000,1.1600000
MsgID.LOCAL_POSITION,202.3750000,-0.2030530,0.3335655,-5.9496107
MsgID.LOCAL_VELOCITY,202.3750000,0.0263797,-0.0134709,0.3986028
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924786,5.9490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.0100000,0.3900000
MsgID.LOCAL_POSITION,202.6250000,-0.1800959,0.5132079,-5.9847693
MsgID.LOCAL_VELOCITY,202.6250000,0.0222714,-0.0211623,-0.2050855
MsgID.GLOBAL_POSITION,0.0000000,-122.3974475,37.7924788,5.9840000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.0200000,-0.2000000
MsgID.LOCAL_POSITION,202.8750000,-0.0661344,0.3670219,-6.0347137
MsgID.LOCAL_VELOCITY,202.8750000,0.0193491,-0.0333417,0.0890116
MsgID.GLOBAL_POSITION,0.0000000,-122.3974491,37.7924798,6.0340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0300000,0.0800000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,203.1250000,0.0977436,0.4916457,-6.0157752
MsgID.LOCAL_VELOCITY,203.1250000,0.0085015,-0.0355110,0.2166179
MsgID.GLOBAL_POSITION,0.0000000,-122.3974477,37.7924813,6.0150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0300000,0.2100000
MsgID.LOCAL_POSITION,203.3750000,-0.0289101,0.4552076,-6.0023379
MsgID.LOCAL_VELOCITY,203.3750000,-0.0168343,-0.0432463,0.1318263
MsgID.GLOBAL_POSITION,0.0000000,-122.3974481,37.7924802,6.0020000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0400000,0.1300000
